customer_id,product_id,quantity,manufacturer_id,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,parent_categories,days_since_purchase,total_purchases,unique_products,total_unique_product_sold,last_purchase,recency_div_product,next_purchase_weeks
0,28231,1,193,4,3,468,3,108,"[1682, 3898, 3898]",72,18,13,4,1,16,4
1,23055,1,653,4,0,491,-1,89,"[3898, 3898, 3898, 3898, 3898, 2566]",83,15,14,3,183,6,3
15,1299,1,1056,4,0,474,-1,108,"[3898, 3898, 3898, 3898, 1499, 1499, 2364]",63,49,38,4,115,31,4
15,1299,1,1056,4,0,474,-1,108,"[3898, 3898, 3898, 3898, 1499, 1499, 2364]",36,49,38,4,25,31,3
15,1724,3,396,6,0,497,3,-1,"[2346, 600, 3241, 3207, 3898]",43,49,38,7,25,3,4
15,20968,1,1315,4,0,444,0,144,"[2920, 1603, 3898, 3898]",63,49,38,4,26,27,4
17,28403,1,771,10,3,502,0,85,"[238, 238, 965, 965, 3329]",230,31,26,2,102,10,4
22,1782,1,6,4,3,321,0,144,"[3488, 3726, 3045, 2302, 2599, 2191, 3781, 3233, 1812, 661, 3898, 3898, 3898, 3488, 1543, 1543, 1543, 3726, 488, 2720, 3898]",239,29,24,2,10,9,3
22,24175,2,347,4,0,22,3,151,"[2012, 3898, 2924, 3898, 3898]",239,29,24,6,13,23,3
22,29660,1,18,10,1,345,0,84,"[1739, 380, 489, 2542, 2542, 2346, 2369, 3898, 489, 489, 2497, 2231, 2231, 2231, 3295, 3295, 1812]",239,29,24,3,10,47,3
24,7894,1,523,10,0,503,0,17,"[3189, 3056, 3898, 3898, 3329, 3898, 621, 3898, 3898, 148, 3898, 3898, 3898, 3898]",55,69,36,8,78,29,3
24,11307,1,993,6,0,210,3,137,"[3027, 3451, 2231, 2729, 2206, 2231, 687, 3898]",194,69,36,4,196,17,4
24,22269,2,147,4,0,491,3,144,"[2920, 2920, 2012, 3898]",209,69,36,16,82,14,3
24,22269,1,147,4,0,491,3,144,"[2920, 2920, 2012, 3898]",194,69,36,16,115,14,4
24,22269,1,147,4,0,491,3,144,"[2920, 2920, 2012, 3898]",168,69,36,16,229,14,4
24,29820,1,539,10,0,513,0,45,"[3056, 422, 2231, 2231, 2627, 2471, 861, 861, 861, 861, 687, 3898, 3898, 687]",194,69,36,3,136,25,4
34,21146,1,325,4,0,267,0,78,"[3137, 3027, 3685, 3605, 3605, 1054, 3898, 3898]",237,39,32,4,174,39,4
41,11088,1,888,4,0,276,3,44,"[2364, 3137, 3027, 3630, 3898, 3898]",175,57,48,5,64,27,4
43,12064,1,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",238,54,32,18,23,13,4
43,12064,2,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",181,54,32,18,203,13,3
43,12064,1,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",165,54,32,18,18,13,2
43,12064,1,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",158,54,32,18,56,13,3
43,12064,2,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",92,54,32,18,227,13,2
43,12064,1,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",82,54,32,18,185,13,4
43,12064,1,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",60,54,32,18,95,13,2
43,12064,1,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",52,54,32,18,112,13,2
43,12064,1,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",40,54,32,18,122,13,4
43,12064,1,827,10,0,490,0,39,"[2012, 1072, 370, 370, 3898, 3898]",18,54,32,18,161,13,3
43,20594,1,186,4,0,15,3,81,"[3898, 3898, 3898, 3898, 2012, 3417, 2924, 3898, 3898]",158,54,32,6,56,25,3
43,20594,1,186,4,0,15,3,81,"[3898, 3898, 3898, 3898, 2012, 3417, 2924, 3898, 3898]",18,54,32,6,161,25,3
44,11950,2,160,4,1,60,3,140,"[1178, 3898]",93,10,9,6,10,3,3
57,543,1,1324,10,0,408,3,3,"[2385, 3027, 1841, 3707]",19,29,23,2,122,0,1
60,22701,1,386,10,0,503,0,17,"[959, 1899, 1899, 1899, 2928, 2928, 1340]",206,16,14,2,201,12,4
61,4648,1,28,4,3,491,3,144,"[2006, 1072, 621, 3898, 3898]",192,20,17,3,200,18,2
62,32204,2,1496,10,0,345,3,95,"[2542, 1678, 489]",94,25,23,3,88,5,3
63,1576,1,1201,10,0,43,0,147,"[2364, 1178, 3898, 3162, 3898, 3898]",27,80,58,2,145,11,4
63,10145,1,1201,4,0,39,3,140,"[1880, 1178, 3898, 3898, 3898]",137,80,58,2,123,7,3
63,11155,1,827,4,0,55,3,49,"[1178, 3898]",117,80,58,7,188,24,3
63,11155,1,827,4,0,55,3,49,"[1178, 3898]",27,80,58,7,242,24,4
63,21350,6,18,10,0,51,0,127,"[1178, 380, 910, 3162, 3898, 3898, 3898]",27,80,58,31,14,6,4
69,1970,2,703,4,0,291,0,44,"[3027, 1451, 1682, 2231, 2762, 1840, 1396, 3368, 2965, 2622, 3819, 3898, 3898, 3898, 3898, 3233, 1557, 3898, 3781, 2231, 2231, 2231, 1812, 1812]",109,42,37,3,168,4,3
75,8716,1,1065,4,0,329,3,163,"[370, 3027, 510, 3898, 2901, 3898, 3898]",240,61,44,4,25,39,1
75,14359,2,323,4,0,330,3,163,"[3027, 370, 2901, 370]",240,61,44,11,158,8,1
75,18306,1,1113,4,0,491,3,66,"[2920, 2006, 3550, 2231, 2894, 1282]",240,61,44,3,78,30,1
75,22417,1,1105,4,0,486,0,66,"[3706, 3565, 1751, 3122, 3898, 1072, 1072, 2920, 2920]",240,61,44,2,160,1,1
75,25897,2,328,6,1,497,3,13,"[3898, 3898, 3898, 3898, 3898, 3898, 3898, 3207]",78,61,44,3,213,4,2
76,5230,1,1108,10,0,491,3,156,"[1739, 1433]",194,40,30,3,67,13,2
76,23869,2,186,10,0,28,3,112,"[2012, 1739, 1543, 1543, 1433, 3898]",194,40,30,6,139,34,2
82,25592,1,827,4,0,469,-1,-1,"[3898, 3898, 3898, 3898, 2703, 2915, 2915, 2915, 3898]",64,8,7,3,82,1,1
86,5468,1,225,4,0,395,0,163,"[1739, 2497, 2346, 2369]",25,17,14,3,189,58,2
86,19681,1,266,10,0,425,0,132,"[1698, 2771, 1162, 1162, 3898]",25,17,14,2,128,6,2
91,550,1,703,4,0,291,0,44,"[1451, 1682, 3898, 3819, 3898, 3898, 3898]",175,30,26,3,106,4,2
94,2747,1,1201,6,0,53,3,117,"[1178, 1880, 3870, 3898, 3898]",198,48,27,6,7,25,4
98,2617,1,1272,10,0,517,0,101,[998],21,16,15,2,176,9,3
99,5076,2,829,10,0,9,0,156,"[3027, 566, 3567, 510, 252, 844, 3898, 3898, 510, 1796, 1796, 3027, 714, 3898]",62,15,12,4,115,43,4
100,5891,1,768,4,0,484,0,66,[2566],216,44,42,3,18,49,4
110,1821,1,1222,10,0,519,0,17,"[3808, 1739, 472]",130,51,36,8,16,24,1
110,17741,2,1222,10,0,519,0,85,"[1739, 472]",204,51,36,8,51,24,4
111,12705,1,6,4,0,55,3,111,"[1178, 857, 3488, 3898]",231,9,8,4,80,6,4
114,4424,1,1496,6,0,303,0,45,"[3027, 918, 1682, 452, 3898, 3898, 3898, 3898]",38,80,67,2,11,2,1
114,28347,1,225,4,0,395,0,163,"[1840, 2497, 3898]",38,80,67,2,11,2,1
119,5594,2,618,4,0,21,3,52,"[2182, 2012, 3898, 2924, 3898, 3898, 3898, 3898]",92,42,33,4,67,6,4
119,15048,3,194,6,0,506,3,17,"[3764, 965, 3764, 2213, 2231]",92,42,33,4,67,6,4
119,31702,2,703,10,0,345,0,97,"[3154, 1739, 489, 1678, 2542, 2346, 2369, 3898, 3898]",92,42,33,10,67,18,4
122,12635,1,1324,4,1,491,3,66,"[2364, 2385, 3183, 3183]",146,15,13,3,166,6,3
126,31354,6,105,4,0,469,0,-1,"[3898, 3898, 3898, 3898, 2915, 2915]",12,27,22,13,35,0,1
127,6079,1,958,10,0,491,3,156,"[370, 370]",104,18,16,3,3,41,2
130,16215,1,1265,4,0,491,3,89,"[3598, 566, 714, 252, 1967]",230,49,30,4,168,24,4
130,24236,1,1121,10,0,161,0,38,"[3859, 3898, 3898, 3898, 3898]",50,49,30,4,150,49,4
130,24236,1,1121,10,0,161,0,38,"[3859, 3898, 3898, 3898, 3898]",28,49,30,4,9,49,4
134,5902,4,193,4,0,453,3,108,"[3898, 3898, 3898, 3898, 3898, 2824, 100, 1223, 425, 425, 1623, 3898]",54,36,28,16,120,7,3
136,26494,1,888,4,0,367,3,89,"[1566, 3898, 1812]",72,38,31,5,231,31,2
151,14776,1,1496,4,0,322,0,144,"[918, 1682, 2599, 3819, 1557, 3898]",177,64,38,5,13,25,3
151,14776,1,1496,4,0,322,0,144,"[918, 1682, 2599, 3819, 1557, 3898]",98,64,38,5,43,25,4
151,14776,1,1496,4,0,322,0,144,"[918, 1682, 2599, 3819, 1557, 3898]",71,64,38,5,98,25,4
151,20131,1,347,4,0,291,3,44,"[1682, 621, 2762, 2134, 2134, 2231, 3726, 264, 3781, 3233, 1396, 2965, 2622, 1812, 1565, 1557, 861, 861, 861, 861, 3898, 3898, 3898, 2134, 3726, 3726, 3819, 2231, 861, 2231, 2231, 2231, 3898]",231,64,38,8,49,28,4
151,20131,1,347,4,0,291,3,44,"[1682, 621, 2762, 2134, 2134, 2231, 3726, 264, 3781, 3233, 1396, 2965, 2622, 1812, 1565, 1557, 861, 861, 861, 861, 3898, 3898, 3898, 2134, 3726, 3726, 3819, 2231, 861, 2231, 2231, 2231, 3898]",71,64,38,8,175,28,4
151,20131,1,347,4,0,291,3,44,"[1682, 621, 2762, 2134, 2134, 2231, 3726, 264, 3781, 3233, 1396, 2965, 2622, 1812, 1565, 1557, 861, 861, 861, 861, 3898, 3898, 3898, 2134, 3726, 3726, 3819, 2231, 861, 2231, 2231, 2231, 3898]",48,64,38,8,10,28,3
151,23050,1,1411,4,0,22,0,151,"[2012, 3898, 3898, 3337, 2924, 3898, 3898, 3898, 3898]",185,64,38,3,242,15,4
151,23050,1,1411,4,0,22,0,151,"[2012, 3898, 3898, 3337, 2924, 3898, 3898, 3898, 3898]",160,64,38,3,21,15,4
151,23582,1,569,4,0,21,3,52,"[2012, 857, 3898, 621, 2924, 3898, 3898, 3898, 2231, 2231, 319, 3898, 3898]",71,64,38,3,28,23,2
155,9102,1,1496,6,0,220,3,17,"[918, 566, 2045, 3898]",203,44,28,3,215,63,4
155,19129,3,1371,10,0,322,3,127,"[2364, 2191, 3781, 2965, 3898]",215,44,28,19,94,10,2
155,19129,3,1371,10,0,322,3,127,"[2364, 2191, 3781, 2965, 3898]",203,44,28,19,169,10,4
155,19129,2,1371,10,0,322,3,127,"[2364, 2191, 3781, 2965, 3898]",143,44,28,19,211,10,2
155,19129,2,1371,10,0,322,3,127,"[2364, 2191, 3781, 2965, 3898]",130,44,28,19,140,10,4
155,23838,1,772,10,0,505,0,126,"[3288, 1885, 1279]",130,44,28,11,98,17,4
164,7389,1,1222,10,0,502,0,29,"[3808, 2703, 3829]",24,37,24,4,85,56,4
164,11080,1,392,10,0,515,0,188,"[3898, 3898, 3898, 3898, 3898, 566, 3609, 3609, 3609]",229,37,24,4,167,2,2
164,23687,2,926,6,0,503,0,17,"[2752, 119, 119]",24,37,24,12,208,12,3
170,24528,5,194,6,0,502,0,185,"[3860, 3764, 965, 3764, 3189, 148]",168,61,49,17,27,9,3
170,32605,2,361,10,0,505,0,126,"[638, 1929, 3898, 3898]",168,61,49,6,27,30,3
172,7190,1,186,6,0,207,0,17,"[3056, 3898]",46,29,28,2,6,6,2
177,233,1,906,10,1,358,0,97,[1928],13,23,20,2,46,6,2
177,7391,1,8,4,0,469,0,-1,"[2703, 2915, 3898, 3898, 1227, 3898]",147,23,20,2,185,11,4
184,1236,1,406,10,0,503,0,17,"[1151, 965, 2169, 148]",174,21,20,4,51,5,3
185,29657,3,18,10,0,345,0,84,"[621, 380, 2762, 489, 2542, 2542, 3898, 3898, 3898, 2497, 2231, 2231, 2231, 1812]",75,33,26,12,64,17,2
185,29657,2,18,10,0,345,0,84,"[621, 380, 2762, 489, 2542, 2542, 3898, 3898, 3898, 2497, 2231, 2231, 2231, 1812]",63,33,26,12,166,17,2
195,25789,2,1025,10,0,505,0,126,"[3288, 3096, 638, 322, 2928, 1929]",233,17,14,4,125,0,1
197,19913,1,207,4,3,321,0,144,"[1682, 2302, 2599, 2191, 1557, 3819, 3898, 3898, 3898]",61,63,50,2,184,13,4
201,17458,1,801,4,0,-1,-1,-1,"[2915, 2369, 2915]",217,12,10,6,6,34,4
209,16269,1,618,4,0,334,0,44,"[2182, 1932, 1932]",92,60,47,4,154,29,4
209,28900,1,1156,10,0,137,3,87,"[3565, 3898, 3898, 3898, 3898, 3289]",232,60,47,7,58,30,4
209,28900,1,1156,10,0,137,3,87,"[3565, 3898, 3898, 3898, 3898, 3289]",92,60,47,7,154,30,4
220,28298,1,1324,10,0,351,3,95,"[2972, 2033, 1480, 3898, 489, 3898]",69,18,17,7,59,0,1
225,219,1,393,4,0,491,3,66,"[2012, 1072, 1072, 2566, 2478, 2478, 2478, 3163, 3898, 3898, 3898]",180,38,27,2,189,10,3
225,4702,1,325,10,0,16,0,45,"[3027, 2012, 2231, 857, 910, 1543, 3898, 3898, 2924, 3417, 3898, 3898, 3898, 3898]",81,38,27,4,131,31,1
225,19043,1,186,10,3,27,3,39,"[3027, 3027, 2012, 2012, 2012, 621, 2231, 2762, 1840, 3898, 510, 3337, 73, 861, 3898, 3898, 3898, 3898, 3898, 3898, 3417, 3898, 3898, 3898, 3898, 3898, 3027, 3337, 3898]",180,38,27,3,28,22,3
227,24943,1,994,10,0,421,3,25,"[2385, 1841, 1841]",103,19,15,4,0,26,4
228,5154,1,1201,4,0,15,3,81,"[2012, 3417, 3898]",200,45,35,2,17,12,4
228,25859,1,827,4,0,282,3,48,"[2006, 2231, 1282, 3898]",157,45,35,2,5,12,4
230,7503,6,186,4,2,444,3,66,"[2364, 3860, 3288, 3288, 875]",172,7,5,18,150,0,1
230,7503,6,186,4,2,444,3,66,"[2364, 3860, 3288, 3288, 875]",168,7,5,18,47,0,1
232,23582,5,569,4,0,21,3,52,"[2012, 857, 3898, 621, 2924, 3898, 3898, 3898, 2231, 2231, 319, 3898, 3898]",58,32,21,22,1,10,2
236,7728,1,186,10,0,27,3,38,"[3898, 3898, 3898, 3898, 1178, 3898, 3898, 3898, 3898, 3898]",132,72,49,2,61,4,2
240,10846,1,361,10,1,181,3,84,"[3056, 3898]",224,50,35,3,64,0,1
240,10846,1,361,10,1,181,3,84,"[3056, 3898]",224,50,35,3,30,0,1
240,11556,1,929,10,3,-1,-1,-1,[320],224,50,35,3,209,0,1
240,11556,1,929,10,3,-1,-1,-1,[320],224,50,35,3,23,0,1
240,24145,1,378,10,0,421,0,3,"[2385, 2385, 3898, 2164, 1841, 1841]",224,50,35,3,160,0,1
240,24145,1,378,10,0,421,0,3,"[2385, 2385, 3898, 2164, 1841, 1841]",224,50,35,3,219,0,1
240,24763,1,186,6,0,207,0,17,"[3056, 3056, 3295, 3898, 3898, 3898, 861, 861, 861, 2231, 3295, 3898]",224,50,35,3,26,0,1
240,24763,1,186,6,0,207,0,17,"[3056, 3056, 3295, 3898, 3898, 3898, 861, 861, 861, 2231, 3295, 3898]",224,50,35,3,219,0,1
